index	open	close	high	low
319	503	496	506	490
320	498	498	500	493
321	494	497	500	492
322	493	496	498	489
323	497	484	504	476
324	484	462	485	462
325	464	472	475	464
326	473	474	489	470
327	476	477	484	472
328	477	479	483	475
329	477	467	481	465
330	469	471	473	465
331	470	488	489	470
332	490	479	494	467
333	482	486	488	475
334	488	489	493	483
335	493	492	494	484
336	492	516	516	490
337	518	512	518	507
338	512	512	514	505
339	513	509	518	507
340	509	540	544	507
341	542	544	545	535
342	540	544	547	537
